feature,b_age,b_DEM,b_AgeDEM,b_MCI,b_AgeMCI,t_DEM,t_AgeDEM,t_MCI,t_AgeMCI
N3_delta/alpha_mean_C        ,-0.18746926056322932,-0.40469869931592706,0.0343569142441772,-0.38265888919667423,0.056790705123343235,-6.945554995874,0.7932211964528009,-8.704702975819359,1.4640554745183418
N2_delta_bandpower_max_C     ,-0.17444453959542083,-0.40562901408982976,0.0790864477522798,-0.3740038007665476,0.04616251210082827,-6.935477532954934,1.8190910646551173,-8.475988859053952,1.1856101749662304
COUPL_ANGLE_C4,-0.11706167497411013,-0.3992044135615131,-0.006346610259751904,-0.2708973327630875,-0.05442995124558759,-6.768117018431542,-0.14475026528750365,-6.087574063127544,-1.386167129361504
SO_RATE_C3,-0.13563251664156345,-0.39889446901450737,0.12073456932731723,-0.3572537381640801,0.02955744808809084,-6.767236199413478,2.7554337400051305,-8.033357726589285,0.7532261377605549
Q_C3,-0.16991087500705104,-0.39435011251943436,-0.04178449882782737,-0.21243188199800428,-0.030862684691872706,-6.742884103502276,-0.9611339934475497,-4.814491529210874,-0.7926884931779109
Wake_IAF_O,-0.17715617507578924,-0.39190920495221326,-0.015606447639238834,-0.2462638645733271,0.03530429410888304,-6.700302036206372,-0.3589368027170431,-5.580544953866281,0.90665398478124
N2_delta_bandpower_mean_F    ,-0.14469628000735843,-0.39315365338050995,0.05556968502523245,-0.3769426945140633,0.01651779834950051,-6.691720245312352,1.272384617668417,-8.50389317063081,0.4223113432860918
N2_delta_bandpower_std_C     ,-0.1943320410107842,-0.38979959413438087,0.09107985548282234,-0.3417020273037037,0.048786739309479014,-6.6829392431417,2.1006489301044473,-7.76498623038529,1.2564148157789246
W_theta/alpha_min_F         ,0.1431845517086311,0.389977353573522,0.010591370856944352,0.18943813198485007,0.070170893885124,6.63114469818439,0.2422737191573591,4.269563959036075,1.792302257826051
N2_delta/theta_max_C         ,-0.16371993997478573,-0.3865472170386173,0.08186170340167985,-0.35525414484833506,0.047916546352329344,-6.5892834409547385,1.8772470472416707,-8.02678806635591,1.2269483265114107
W_theta_bandpower_kurtosis_C,-0.10822292659736757,-0.3868312124173368,-0.07440623396275949,-0.33100297757280966,-0.051384326592007486,-6.567640285572427,-1.6994257200821514,-7.448807552528801,-1.3104596237679424
N1_theta_bandpower_kurtosis_O,-0.08033401216039016,-0.3838739876189865,-0.09653075367626472,-0.28540934907836524,-0.033834558295726784,-6.487925830239898,-2.1947643813276994,-6.393702014141664,-0.8589795598020796
N2_delta/theta_mean_F        ,-0.13625375644112173,-0.381532193375599,0.06118675482521491,-0.36564032857636536,0.016771965385759206,-6.48077312882817,1.398163831583398,-8.232215372553812,0.42794180352897354
FWHM_O1,-0.1653803791087474,-0.3773734714964109,0.051336920136512615,-0.06608576728878547,-0.05414465215851237,-6.418152812008325,1.174555413157061,-1.4897507994316879,-1.3832458636361449
