feature_name,feature_display_name
R_alpha_bandpower_min_F     ,"α, bandpower, min, F"
R_alpha_bandpower_min_C     ,"α, bandpower, min, C"
R_alpha_bandpower_min_O     ,"α, bandpower, min, O"
R_delta_bandpower_mean_F    ,"δ, bandpower, mean, F"
R_delta_bandpower_mean_C    ,"δ, bandpower, mean, C"
R_delta_bandpower_mean_O    ,"δ, bandpower, mean, O"
R_theta_bandpower_mean_F    ,"θ, bandpower, mean, F"
R_theta_bandpower_mean_C    ,"θ, bandpower, mean, C"
R_theta_bandpower_mean_O    ,"θ, bandpower, mean, O"
R_alpha_bandpower_mean_F    ,"α, bandpower, mean, F"
R_alpha_bandpower_mean_C    ,"α, bandpower, mean, C"
R_alpha_bandpower_mean_O    ,"α, bandpower, mean, O"
R_delta_bandpower_std_F     ,"δ, bandpower, std, F"
R_delta_bandpower_std_C     ,"δ, bandpower, std, C"
R_delta_bandpower_std_O     ,"δ, bandpower, std, O"
R_theta_bandpower_std_F     ,"θ, bandpower, std, F"
R_theta_bandpower_std_C     ,"θ, bandpower, std, C"
R_theta_bandpower_std_O     ,"θ, bandpower, std, O"
R_alpha_bandpower_std_F     ,"α, bandpower, std, F"
R_alpha_bandpower_std_C     ,"α, bandpower, std, C"
R_alpha_bandpower_std_O     ,"α, bandpower, std, O"
R_delta_bandpower_kurtosis_F,"δ, bandpower, kurtosis, F"
R_delta_bandpower_kurtosis_C,"δ, bandpower, kurtosis, C"
R_delta_bandpower_kurtosis_O,"δ, bandpower, kurtosis, O"
R_theta_bandpower_kurtosis_F,"θ, bandpower, kurtosis, F"
R_theta_bandpower_kurtosis_C,"θ, bandpower, kurtosis, C"
R_theta_bandpower_kurtosis_O,"θ, bandpower, kurtosis, O"
R_alpha_bandpower_kurtosis_F,"α, bandpower, kurtosis, F"
R_alpha_bandpower_kurtosis_C,"α, bandpower, kurtosis, C"
R_alpha_bandpower_kurtosis_O,"α, bandpower, kurtosis, O"
R_sigma_bandpower_kurtosis_F,"σ, bandpower, kurtosis, F"
R_sigma_bandpower_kurtosis_C,"σ, bandpower, kurtosis, C"
R_sigma_bandpower_kurtosis_O,"σ, bandpower, kurtosis, O"
R_delta/theta_max_F         ,"δ/θ, max, F"
R_delta/theta_max_C         ,"δ/θ, max, C"
R_delta/theta_max_O         ,"δ/θ, max, O"
R_delta/theta_min_F         ,"δ/θ, min, F"
R_delta/theta_min_C         ,"δ/θ, min, C"
R_delta/theta_min_O         ,"δ/θ, min, O"
R_delta/theta_mean_F        ,"δ/θ, mean, F"
R_delta/theta_mean_C        ,"δ/θ, mean, C"
R_delta/theta_mean_O        ,"δ/θ, mean, O"
R_delta/theta_std_F         ,"δ/θ, std, F"
R_delta/theta_std_C         ,"δ/θ, std, C"
R_delta/theta_std_O         ,"δ/θ, std, O"
R_delta/alpha_max_F         ,"δ/α, max, F"
R_delta/alpha_max_C         ,"δ/α, max, C"
